,playerName,ballSkill,defence,mental,passing,physical,shooting,goalkeeper
5531,Andy King,71.0,69.0,68.83333333333333,68.0,68.14285714285714,67.75,7.4
5532,Khaled Adénon,49.5,72.0,58.166666666666664,58.333333333333336,66.85714285714286,44.5,11.4
5533,Matías Rodríguez,71.0,69.66666666666667,65.5,67.0,71.85714285714286,60.25,10.2
5534,Adam Clayton,68.5,68.0,70.16666666666667,72.0,67.42857142857143,59.625,11.0
5535,Konstantin Rausch,72.0,67.66666666666667,70.5,71.66666666666667,75.14285714285714,66.5,10.8
5538,Levan Mchedlidze,73.0,22.666666666666668,59.666666666666664,52.0,58.57142857142857,61.125,11.0
5539,Tomáš Hubočan,53.0,74.33333333333333,62.166666666666664,59.666666666666664,73.28571428571429,53.625,10.2
5540,Oliver Norwood,68.5,68.66666666666667,68.16666666666667,74.33333333333333,66.85714285714286,68.75,11.6
5541,Henri Lansbury,70.5,59.333333333333336,71.83333333333333,70.33333333333333,67.85714285714286,65.75,13.8
5542,Diego Ângelo,58.5,72.33333333333333,63.0,67.66666666666667,48.42857142857143,64.0,11.4
5547,Massimo Coda,70.0,16.666666666666668,56.0,47.666666666666664,59.142857142857146,68.625,11.8
5548,Lora,68.0,71.0,65.83333333333333,65.33333333333333,75.71428571428571,56.75,12.0
5549,Johnny Russell,74.0,34.333333333333336,66.5,68.33333333333333,77.28571428571429,64.875,11.0
5550,Marcelo Larrondo,71.5,21.333333333333332,61.166666666666664,59.0,59.0,66.125,9.8
5551,Ömer Şişmanoğlu,67.5,30.0,63.166666666666664,56.333333333333336,71.14285714285714,62.0,10.8
5554,Chris Basham,60.0,69.33333333333333,62.166666666666664,58.333333333333336,69.71428571428571,48.375,9.6
5555,Ryan Koolwijk,69.5,63.0,71.33333333333333,75.0,55.285714285714285,65.375,9.4
5556,Ima Faneva Andriatsima,71.0,20.0,59.666666666666664,56.0,74.0,67.5,9.6
5557,Andreas Bjelland,61.0,71.66666666666667,66.83333333333333,62.333333333333336,61.857142857142854,50.75,12.4
5558,Avdija Vršajevič,66.5,71.0,63.5,70.66666666666667,70.71428571428571,60.25,11.4
5561,Martyn Waghorn,65.5,23.0,58.0,67.33333333333333,72.57142857142857,70.25,12.4
5562,Alexander Grünwald,72.5,54.333333333333336,66.33333333333333,70.33333333333333,69.28571428571429,67.25,12.0
5563,Erwin Mulder,22.0,14.666666666666666,34.0,27.333333333333332,47.0,19.75,72.8
5564,Barry Bannan,74.0,42.0,64.66666666666667,74.66666666666667,69.14285714285714,66.0,9.0
5565,Rui Fonte,72.0,32.666666666666664,65.16666666666667,67.33333333333333,70.42857142857143,69.25,12.0
5568,Sten Michael Grytebust,18.5,12.666666666666666,37.666666666666664,19.666666666666668,44.42857142857143,14.25,70.8
5569,Eros Pisano,64.5,73.0,63.166666666666664,65.33333333333333,72.0,52.875,10.8
